nome,ruolo,squadra,punteggio,titolarita
Svilar,P,Roma,95,0.88
Martinez Jo,P,Inter,94,0.84
Butez,P,Como,92,0.88
Carnesecchi,P,Atalanta,92,0.88
Maignan,P,Milan,90,0.88
De Gea,P,Fiorentina,86,0.88
Meret,P,Napoli,83,0.86
Skorupski,P,Bologna,80,0.88
Di Gregorio,P,Juventus,78,0.87
Mandas,P,Lazio,77,0.88
Okoye,P,Udinese,77,0.88
Caprile,P,Cagliari,76,0.87
Falcone,P,Lecce,73,0.91
Bijlow,P,Genoa,72,0.86
Suzuki,P,Parma,70,0.88
Muric,P,Sassuolo,68,0.79
Stankovic F,P,Venezia,65,0.86
Daffara,P,Parma,64,0.08
Perin,P,Juventus,63,0.10
Thiam,P,Monza,60,0.86
Milinkovic-Savic V,P,Napoli,59,0.11
Palmisani,P,Frosinone,54,0.76
Desplanches,P,Frosinone,38,0.20
Provedel,P,Inter,37,0.13
Turati,P,Sassuolo,19,0.17
Christensen O,P,Fiorentina,15,0.09
Ciocci,P,Cagliari,15,0.09
Contini,P,Napoli,15,0.03
Corvi,P,Parma,15,0.03
De Marzi,P,Roma,15,0.09
Di Gennaro,P,Inter,15,0.03
Gollini,P,Roma,15,0.03
Grandi,P,Venezia,15,0.10
Happonen,P,Bologna,15,0.09
Lezzerini,P,Fiorentina,15,0.03
Lolic,P,Frosinone,15,0.03
Mascardi,P,Torino,15,0.80
Motta,P,Lazio,15,0.09
Padelli,P,Udinese,15,0.09
Paleari,P,Torino,15,0.15
Pessina Mas,P,Bologna,15,0.03
Piana,P,Udinese,15,0.03
Pinsoglio,P,Juventus,15,0.03
Pizzignacco,P,Monza,15,0.10
Pozzi,P,Venezia,15,0.04
Renzetti,P,Lazio,15,0.03
Russo A,P,Sassuolo,15,0.03
Samooja,P,Lecce,15,0.09
Sherri,P,Cagliari,15,0.03
Siviero,P,Torino,15,0.05
Sommariva,P,Genoa,15,0.11
Sportiello,P,Atalanta,15,0.09
Stolz,P,Genoa,15,0.04
Strajnar,P,Monza,15,0.04
Terracciano,P,Milan,15,0.09
Tornqvist,P,Como,15,0.09
Torriani,P,Milan,15,0.03
Vigorito,P,Como,15,0.03
Vismara,P,Atalanta,15,0.03
Dimarco,D,Inter,95,0.93
Wesley,D,Roma,80,0.93
Akanji,D,Inter,78,0.77
Bremer,D,Juventus,76,0.83
Mancini,D,Roma,76,0.77
Pavlovic,D,Milan,75,0.82
Rrahmani,D,Napoli,75,0.82
Bastoni,D,Inter,74,0.71
Kalulu,D,Juventus,73,0.82
N'Dicka,D,Roma,73,0.76
Solet,D,Udinese,73,0.90
Di Lorenzo,D,Napoli,71,0.79
Gila,D,Milan,71,0.69
Stones,D,Inter,71,0.68
Ostigard,D,Genoa,70,0.84
Bisseck,D,Inter,69,0.39
Dodo,D,Fiorentina,67,0.79
Hermoso,D,Roma,67,0.63
Ramon,D,Como,67,0.77
Scalvini,D,Atalanta,67,0.81
Vasquez,D,Genoa,66,0.81
Cambiaso,D,Juventus,65,0.73
Chalobah T,D,Como,65,0.68
Bartesaghi,D,Milan,63,0.73
Couto,D,Como,63,0.77
Dragusin,D,Fiorentina,63,0.80
Celik,D,Juventus,62,0.65
Delprato,D,Parma,62,0.73
Jimenez A,D,Fiorentina,62,0.71
Koulierakis,D,Roma,62,0.37
Lucumi,D,Bologna,62,0.65
Mina,D,Cagliari,62,0.83
Miranda J,D,Bologna,62,0.81
Norton-Cuffy,D,Genoa,62,0.68
Spinazzola,D,Napoli,62,0.72
Valeri,D,Parma,62,0.81
Vojvoda,D,Udinese,62,0.71
Zappacosta,D,Atalanta,62,0.81
Hien,D,Atalanta,61,0.60
Carlos Augusto,D,Inter,60,0.29
Doekhi,D,Lazio,60,0.73
Gabbia,D,Milan,60,0.71
Kaiki,D,Como,60,0.69
Romagnoli,D,Lazio,60,0.79
Buongiorno,D,Napoli,59,0.63
Coco,D,Torino,59,0.89
Djimsiti,D,Atalanta,59,0.38
Idzes,D,Sassuolo,59,0.86
Ismajli,D,Torino,59,0.86
Kristensen T,D,Udinese,59,0.65
Tiago Gabriel,D,Lecce,59,0.80
Tomori,D,Milan,59,0.39
Obert,D,Cagliari,58,0.72
Marusic,D,Lazio,57,0.72
Viery,D,Fiorentina,57,0.71
Zortea,D,Bologna,57,0.80
Ahanor,D,Atalanta,56,0.27
Bellanova,D,Atalanta,56,0.17
Bernasconi,D,Atalanta,56,0.76
Beukema,D,Napoli,56,0.38
Circati,D,Parma,56,0.75
Heggem,D,Bologna,56,0.66
Mangas,D,Monza,56,0.74
Monterisi,D,Frosinone,56,0.76
Pavard,D,Inter,56,0.17
Tavares N,D,Lazio,56,0.63
Valdepenas,D,Fiorentina,56,0.41
Valle,D,Como,56,0.39
Bella-Kotchap,D,Venezia,55,0.73
Comuzzo,D,Torino,55,0.66
Gallo,D,Lecce,55,0.73
Kamara H,D,Udinese,55,0.60
Marcandalli,D,Genoa,55,0.34
Martin,D,Genoa,53,0.68
Pedraza,D,Lazio,53,0.39
Rensch,D,Roma,53,0.27
Bracaglia,D,Frosinone,52,0.69
Gaspar K,D,Lecce,52,0.74
Haps,D,Venezia,52,0.65
Holm,D,Bologna,52,0.40
Kelly L,D,Juventus,52,0.39
Kempf,D,Como,52,0.24
Kofler,D,Cagliari,52,0.72
Kolasinac,D,Atalanta,52,0.12
Moreno M,D,Venezia,52,0.69
Olivera,D,Napoli,52,0.25
Oyono A,D,Frosinone,52,0.74
Parisi,D,Fiorentina,52,0.24
Pedersen,D,Torino,52,0.83
Veiga D,D,Lecce,52,0.40
Vitik,D,Bologna,52,0.24
Ze Pedro,D,Cagliari,52,0.69
Birindelli,D,Monza,48,0.76
Correia T,D,Venezia,48,0.83
Delli Carri,D,Monza,48,0.69
Doig,D,Sassuolo,48,0.91
Lucchesi,D,Monza,48,0.79
Siebert,D,Lecce,48,0.78
Arizala,D,Udinese,47,0.10
Bertola,D,Udinese,47,0.40
Calvani,D,Frosinone,47,0.70
Comert,D,Torino,47,0.46
Gatti,D,Juventus,47,0.25
Ghilardi,D,Roma,47,0.16
Halhal,D,Venezia,47,0.42
Kabasele,D,Udinese,47,0.16
Mitaj,D,Genoa,47,0.23
Pongracic,D,Fiorentina,47,0.15
Smolcic,D,Como,47,0.15
Valenti,D,Parma,47,0.65
Walukiewicz,D,Sassuolo,47,0.73
Zanoli,D,Udinese,47,0.26
Zappa,D,Cagliari,47,0.27
Cande,D,Sassuolo,43,0.93
De Winter,D,Milan,43,0.31
Floriani Mussolini,D,Lazio,43,0.29
Britschgi,D,Parma,42,0.45
Carboni A,D,Monza,42,0.28
Estupinan,D,Milan,42,0.17
Kouadio,D,Monza,42,0.43
Provstgaard,D,Lazio,42,0.18
Rodriguez Ju,D,Cagliari,42,0.50
Akpoguma,D,Frosinone,41,0.26
Athekame,D,Milan,41,0.11
Cittadini,D,Frosinone,41,0.43
Hainaut,D,Venezia,41,0.17
