nome,ruolo,squadra,punteggio,titolarita
Svilar,P,Roma,39.7,0.88
Martinez Jo,P,Inter,24.55,0.84
Butez,P,Como,27.25,0.88
Carnesecchi,P,Atalanta,34.27,0.88
Maignan,P,Milan,27.73,0.88
De Gea,P,Fiorentina,23.96,0.88
Meret,P,Napoli,44.52,0.86
Skorupski,P,Bologna,27.6,0.88
Di Gregorio,P,Juventus,78,0.87
Mandas,P,Lazio,10.01,0.88
Okoye,P,Udinese,13.78,0.88
Caprile,P,Cagliari,14.31,0.87
Falcone,P,Lecce,12.01,0.91
Bijlow,P,Genoa,15.92,0.86
Suzuki,P,Parma,15.81,0.88
Muric,P,Sassuolo,5.24,0.79
Stankovic F,P,Venezia,7.42,0.86
Daffara,P,Parma,3.65,0.08
Perin,P,Juventus,2.57,0.10
Thiam,P,Monza,60,0.86
Milinkovic-Savic V,P,Napoli,59,0.11
Palmisani,P,Frosinone,54,0.76
Desplanches,P,Frosinone,38,0.20
Provedel,P,Inter,3.66,0.13
Turati,P,Sassuolo,10.6,0.17
Christensen O,P,Fiorentina,1.41,0.09
Ciocci,P,Cagliari,15,0.09
Contini,P,Napoli,1.18,0.03
Corvi,P,Parma,2.84,0.03
De Marzi,P,Roma,23.96,0.09
Di Gennaro,P,Inter,15,0.03
Gollini,P,Roma,1.82,0.03
Grandi,P,Venezia,15,0.10
Happonen,P,Bologna,15,0.09
Lezzerini,P,Fiorentina,1.24,0.03
Lolic,P,Frosinone,15,0.03
Mascardi,P,Torino,15,0.80
Motta,P,Lazio,2.77,0.09
Padelli,P,Udinese,15,0.09
Paleari,P,Torino,6.97,0.15
Pessina Mas,P,Bologna,1.66,0.03
Piana,P,Udinese,15,0.03
Pinsoglio,P,Juventus,1.16,0.03
Pizzignacco,P,Monza,15,0.10
Pozzi,P,Venezia,15,0.04
Renzetti,P,Lazio,15,0.03
Russo A,P,Sassuolo,15,0.03
Samooja,P,Lecce,15,0.09
Sherri,P,Cagliari,15,0.03
Siviero,P,Torino,15,0.05
Sommariva,P,Genoa,15,0.11
Sportiello,P,Atalanta,1.51,0.09
Stolz,P,Genoa,15,0.04
Strajnar,P,Monza,15,0.04
Terracciano,P,Milan,2.15,0.09
Tornqvist,P,Como,1.16,0.09
Torriani,P,Milan,1.36,0.03
Vigorito,P,Como,0.52,0.03
Vismara,P,Atalanta,15,0.03
Dimarco,D,Inter,95,0.93
Wesley,D,Roma,80,0.93
Akanji,D,Inter,24.24,0.77
Bremer,D,Juventus,27.91,0.83
Mancini,D,Roma,30.21,0.77
Pavlovic,D,Milan,24.99,0.82
Rrahmani,D,Napoli,19.02,0.82
Bastoni,D,Inter,31.13,0.71
Kalulu,D,Juventus,21.2,0.82
N'Dicka,D,Roma,24.39,0.76
Solet,D,Udinese,22.84,0.90
Di Lorenzo,D,Napoli,26.08,0.79
Gila,D,Milan,17.31,0.69
Stones,D,Inter,18.85,0.68
Ostigard,D,Genoa,22.65,0.84
Bisseck,D,Inter,19.78,0.39
Dodo,D,Fiorentina,67,0.79
Hermoso,D,Roma,13.01,0.63
Ramon,D,Como,20.67,0.77
Scalvini,D,Atalanta,16.6,0.81
Vasquez,D,Genoa,13.72,0.81
Cambiaso,D,Juventus,65,0.73
Chalobah T,D,Como,14.53,0.68
Bartesaghi,D,Milan,28.36,0.73
